id;start_date;end_date;language
1;2020-01-30T08:10:41;2020-01-30T06:00:56;SPANISH
2;2020-01-29T13:00:52;2020-01-30T08:05:17;SPANISH
3;2020-01-30T03:56:11;2020-01-29T14:30:20;FRENCH
4;2020-01-29T19:13:42;2020-01-30T06:45:08;FRENCH
5;2020-01-30T04:44:00;2020-01-30T09:30:59;FRENCH
6;2020-01-29T22:36:21;2020-01-30T10:44:35;FRENCH
7;2020-01-30T00:21:41;2020-01-29T18:12:32;FRENCH
8;2020-01-29T23:17:54;2020-01-30T09:34:02;SPANISH
9;2020-01-29T21:59:03;2020-01-29T18:40:26;SPANISH
10;2020-01-30T06:11:07;2020-01-29T16:45:37;SPANISH
